"区域","事業所（店舗等）名","事業種別
事業内容","","事業所所在地","電話番号","PR・オトク情報"
"二本松","Merry Nonnon","小売業","バッグ、服、アクセサリー、雑貨のリユース商品、手作
り商品の販売","二本松1-1-1","090-4369-2588 次回使用できる割引券の配布",""
"","MONDAY橋本","サービス業","リラクゼーション業","二本松1-1-1","042-703-1955","初めてご来店のお客様次回使えるクーポンプレゼント"
"","天野鍼灸クリニック","その他","鍼灸マッサージ","二本松","090-6156-8312",""
"","飯野屋","飲食業","とんかつ等各種定食を提供しているお店です","二本松2-18-4","042-772-7037","定食1回につき定食券に印を押し15点で定食1回無料
で提供しています"
"","ウエハラ時計眼鏡宝飾店","小売業","時計、メガネ、宝飾　販売修理","二本松1-10-24","042-773-1974","宝飾リフォーム、修理見積無料
時計修理見積無料"
"","かたやま 整骨院","その他","整骨業　鍼灸業","二本松1-11-10メルセラージュ103","042-703-6903",""
"","カメラのカスガ","小売業","写真、カメラ販売","二本松4-28-12","042-773-1845","商店街スタンプ倍付"
"","ケイエヌ 美容室","サービス業","美容一般","二本松1-20-16","042-773-3477","商店街マツボースタンプ事業参加店"
"","~こだわり旅行の~ 旅キューピット","サービス業","他社とは完全差別化！とにかくこだわった旅行商品を
全国展開にて販売している旅行会社です。ＡＩＲ・ホテ
ル他、数万アイテムにも及ぶ旅行素材を一発検索！
お客様に寄り添った一日一組限定受注！","二本松2-4-25-102","042-852-5123","３９キャンペーン期間中のご予約・お申し込み（お申込
金が必要となります）に限り、個人のお客様先着１５組
まで「旅行相談料無料（メール）」にて受付いたします。
※対面販売は行っておりません。"
"","サガイチホーム（株）","その他","工務店　不動産業
地域密着型の注文住宅・リフォーム工事・不動産売買
仲介","二本松4-10-20","042-814-2112","次回使用できる割引券の発行（有効期間１年）"
"","相模原一番堂水戸鍼灸院","サービス業","鍼灸施術で皆様の健康のお手伝いをしています","二本松1-11-2","042-774-2292",""
"","車検のコバック 相模原二本松店","サービス業","自動車の車検、整備、修理、販売を全般に行っていま
す。","二本松3-33-18","042-770-9939","相模原市最低価格保証！！
当店より安い、他店の見積もり書をお持ちくださ
い！！
車検の見積もり無料ですので、お気軽にお越しくださ
い。"
"","（株）勝文堂印刷","その他","等あ
印刷業
DM・チラシ・パンフレット・伝票・名刺・カレンダー・封筒 
らゆる業種のニーズに対応可能な印刷物づくりに努
めています。","二本松1-10-23","042-773-8487","お見積り無料
次回から使用できる割引券の配布"
"","スズキアリーナ相模原","サービス業","自動車販売・修理・各種保険（自動車・火災等）取り扱
い","二本松4-22-37","042-772-9662","自動車販売や車検・点検・鈑金修理を致します。
さらに自動車保険・火災保険・自転車保険等の相談も
お受けいたします。
ぜひお待ちしております！！"
"","セブンイレブン相模原二本松4丁目店","小売業","接客、販売","二本松4-23-12","042-774-0717",""
"","セブンイレブン相模原二本松1丁目店","小売業","コンビニエンスストア","二本松1-11‐16","042-771-0440",""
"","セブンイレブン相模原二本松3丁目店","小売業","コンビニエンスストア","二本松３丁目１９－８","042-772-3436",""
"","大衆居酒屋 さつき","飲食業","新鮮なお刺身から揚げ物、焼き物など豊富です。地酒
もあります！","二本松4-26-20","042-772-3404","初めてご来店の方、ワンドリンク（グラスビール、サ
ワー類、ソフトドリンク）サービス！必ず最初にお声掛
け下さいね（1グループ5名様までのサービスとさせて
いただきます）"
"","ダイハツ二本松店","小売業","主に、自動車の新車、中古車の販売を中心に行って
います。","二本松3-33-18","042-774-3311","弊社では、ダイハツ車だけでなく、全国産メーカーの新
車、中古車を取り扱っておりますので、是非お気軽に
お越しください！
皆様のご来店を心よりお待ちしております！！"
"","たかぎ酒店","小売業","お酒、タバコ、食品、切手、ハガキ、ゆうパック、その他 二本松1-2-18","","042-772-0952","アイコスのイルマとテリア販売始めました。"
"","田嶋酒店","小売業","地酒、本格焼酎、ワイン等販売","二本松4-25-10","042-772-4316",""
"","二本松薬局","小売業","薬・化粧品 小売","二本松4-24-26","042-772-1583","マツボースタンプイベント、得得券配布"
"","はんこの美晶堂 二本松店","小売業","ゴム印・実印・銀行印・会社印・名刺印刷・シャチハタ
等","二本松4-22-39","042-779-8585",""
"","ビューティーショップ マイム","サービス業","美容院　パーマ　ヘアカラー　カット 
ヘアケア・スタイリングを致します。","二本松4-17-54","042-772-0515",""
