"","事業所（店舗等）名","事業種別","事業内容","事業所所在地","電話番号","PR・オトク情報"
"上鶴間本町","（有）沖園芸","小売業","・草花、植木、園芸用品を販売しています
・造園、庭木の手入、植木の植込等をしています","上鶴間本町7-22-31","042-742-9604","・次回使える割引券（期間限定）の配布"
"","カラダノミカタ","サービス業","整体・フットケア","上鶴間本町3-18-27グローリア初穂町田409","042-785-4664","〇 整体60分コース、初回と2回目2980円
〇 女性専用フットケア部門では初めての方 < 20%
OFF！>
　 うおのめ・爪がうまく切れない・巻き爪などのお悩み
ご相談ください。"
"","（有）光陽建設","サービス業","不動産業（賃貸・売買・管理）","上鶴間本町３－９－２","042-767-2601",""
"","相模原市農業協同組合 相模大野支店","小売業","","上鶴間本町4-5-10","042-742-3374",""
"","庄井歯科医院","その他","歯科医療","上鶴間本町4−14−30","042-748-3161",""
"","スマイルカンパニー上鶴間店","小売業","家具、一般日用品雑貨販売、古物品の売買及び仲介
業","上鶴間本町9-47-39","042-705-8611","特になし"
"","セブンイレブン上鶴間本町8丁目店","小売業","コンビニエンスストア","上鶴間本町8-53-10","042-742-8950",""
"","セブンイレブン相模原上鶴間本町6丁目店","小売業","食料品・雑貨","上鶴間本町6-2-7","042-749-8677",""
"","セブンイレブン相模原境橋店","小売業","","上鶴間本町5-3-2","042-851-6755",""
"","セブンイレブン谷口店","小売業","コンビニエンスストア","上鶴間本町1-37-30","042-767-7552",""
"","ダイヤ・ドライセンター町田南口店","サービス業","クリーニング店です。衣類のお直しも承っております。 上鶴間本町2-13-3","","042-744-2224",""
"","ファミリーマート三河屋上鶴間店","小売業","接客業","上鶴間本町８-5-5","042-701-4920",""
"","むさし矯正丸","サービス業","腰痛肩凝り骨盤矯正O脚X脚顎関節調整など骨格矯
正とほぐしを専門としております。","上鶴間本町4-6-3渋谷ヴィラ2-104渋谷","042-705-3068","どこに行っても効果を感じられない方。当院に来られ
たらオトクです！
サンキューバック キャンペーンでお得もGETしてくださ
い。"
"","（有）村田輪業商会","小売業","自転車.オ-トバイ販売.修理","上鶴間本町8-6-10","042-746-1291",""
"北里","セブンイレブン相模原北里二丁目店","小売業","コンビニ","北里2-20-14","042-778-1175",""
"","ファミリーマート北里大学L1号館店","小売業","北里大学相模原キャンパス内のコンビニエンスストア","北里1-15-1　北里大学相模原キャンパス内","042-777-8075",""
"","ファミリーマート北里大学病院店","小売業","北里大学病院内のコンビニエンスストア","北里1-15-1　北里大学病院東館1F","042-777-6260",""
"古淵","Dテニススクール古淵駅前校","サービス業/その
他","インドアのテニススクールです。 
テニスのレッスンを行なっています。 
空きコートのレンタルや、ラケット等テニス用品の販売
も行なっています。","古淵2-15-5 2F","042-707-0617","9月6日(火)グランドオープン！！駅から徒歩１分で 
気温、天候問わずにテニスを楽しめるインドアのテニ
ススクールです！！　お得に始められる入会キャン
ペーンも実施中！！"
"","ECCジュニア古淵3丁目教室","その他","英語教室","古淵3-12-12-501","090-8563-7278",""
"","ECCジュニア古淵4丁目教室","その他","英会話教室","古淵4-9-20","042-750-5529","10月生募集中"
"","luminous","サービス業","美容室","古淵4-4-17ベネフィーク1F","042-707-0708",""
"","M GLANZ","サービス業","メンズ脱毛サロン","古淵2-18-3","042-707-4809","男性も脱毛の時代☆
地元で通いやすい。
痛みを最小限に抑えた安心脱毛(*^^*)
大手には無い、丁寧な接客。
都度払いもあります。
完全予約制で人目も気にせず、ゆったり脱毛出来ます
☆"
"","SKY FIELD HAIR","サービス業","メンズサロンです","古淵2-16-9リバーストーン古淵204","042-707-1514",""
"","アパホテル〈相模原 古淵駅前〉","サービス業","","古淵3‐9‐8","042-757-6551",""
"","アユタヤ タイ古式マッサージ","サービス業","タイ古式マッサージ　セラピスト","古淵3-12番12号アクシス古淵305","042-866-3289","タイ古式マッサージ、アロマオイルマッサージを行って
います。タイでマッサージ店を開いていた実績もあり、
ていねいに施術いたします。
古淵駅から徒歩3分、QRコードやクレジットカード決済
もできます。"
"","板垣畳店","サービス業","創業57年。厚生労働省認定の１級技能士が畳の張り
替え、畳のリフォームを行う畳専門店です。","古淵4-36-10","042-742-1756","かながわPayご利用頂けます！"
