"区域","事業所（店舗等）名","事業種別
事業内容","","事業所所在地","電話番号","PR・オトク情報"
"東橋本","陶芸教室レア","サービス業","現役の作家が教える初心者~プロまで対応の陶芸教
室です。","東橋本一丁目2番地14","090-3112-5874","「さがみはらサンキューキャンペーン見たよ」との申告
にて、陶芸教室入会金半額！"
"","どうぶつ病院東橋本","その他","動物病院 
小動物臨床","東橋本1-12-13","042-771-6663","Paypayが使えます。"
"","美容室Bee","サービス業","カット、パーマ、カラーリング、着付け","東橋本2-35-11マジェスティパーク","042-770-5005","支払い金額によるポイントカードで割引き"
"","プチ・ラパン","小売業","菓子製造販売","東橋本2-30-5","042-779-5304",""
"","焼肉バル クイダオレ","飲食業","","東橋本2-20-11","042-772-5210","独自の販売：ミスジステーキサービス（４人１組テーブ
ルに一人前分サービス。）"
"","よしの食堂","飲食業","麺類、丼物、定食を提供する食堂です","東橋本2-19-4","042-772-4717",""
"","ライスショップ きくや","小売業","お米の販売をしています","東橋本4-1-19","042-773-2727","毎週土曜日お米10㎏300円引き。5㎏150円引き。
10㎏お持ち帰りで、水1リットルか缶ジュースのサービ
スがあります。
5㎏お持ち帰りで、缶ジュースのサービスがあります。"
"","（株）ラケットショップフジ橋本店","小売業","テニス・ソフトテニス・バトミントン用具販売","東橋本1-24-13","042-700-9554",""
"牧野","JA神奈川つくい 牧野支店","小売業","","牧野4229-1","042-689-2311",""
"","飾屋","小売業","一点物の天然石を使ったシルバージュエリーや、手に
取りやすい真鍮のアクセサリー","牧野5570ふじのアートヴィレッジ内飾屋","090-2228-3678","オラクルカードリーディングによるあなたへのメッセー
ジを無料で承ります"
"","相模湖カントリークラブ","サービス業","ゴルフ場","牧野14342","042-689-2931",""
"","合名会社千歳屋志村商店","小売業","食料品、お酒、雑貨を扱っています。詳しくはblogを御
覧ください。","牧野4200","042-689-2005",""
"","陶釉舎","サービス業","陶芸教室及び陶芸体験","牧野1221-4","042-689-3533","緑豊かな山の中の陶芸教室。
陶釉舎は焼成温度1280度と高く燻して焼きますので、
出来上がり作品は丈夫です。初心者からプロまで対
応。
教室後、体験後は自然豊かなベランダでお茶をお入
れいたします。"
"","ナッティウッド＆スレッド","小売業","木を中心の造形作品（筒井明）自然素材の草木染の
ストール（筒井美津子）を制作・販売しています。","牧野5570","090-6197-8471 見積無料です。",""
"","藤野倶楽部・百笑の台所","小売業/飲食業","参鶏湯がおすすめのレストラン、自然食品販売、BBQ
場や宿泊施設もあります。","牧野4611-1","042-689-6105",""
"","ぶるべの樹","小売業/サービス
業","ブルーベリーの観光農園および加工品製造販売","牧野5570","042-686-8255","2,000円以上お買い上げのお客様、ブルーベリーアイ
スキャンディーサービス"
"","和食れすとらん あやの 藤野芸術の家店","飲食業","アート体験リゾート施設「藤野芸術の家」内で営業して
います。
窓から眺める景色は最高！宿泊者の夕食、朝食はも
ちろん、日帰りでのランチタイムも楽しめます。","牧野4819藤野芸術の家内","042-649-0552","る「
期間中お食事されたお客様に、次回ご利用いただけ
ドリンクバー無料券」をプレゼントいたします。"
"町屋","cona工房 NN38","飲食業","パン、焼き菓子販売","町屋4-10-13","042-783-1672","何度も足を運んで下さっているお客様にミニ焼き菓子
を♪"
"","城山接骨院","サービス業","接骨とマッサージ、健康グッズ販売","町屋2-13-20","042-782-6007","各種サポーター、コルセット格安販売"
"三ケ木","（有）アキモト印刷","サービス業/その
他","企画、製作、印刷","三ケ木401","042-784-0567","期間中3000円以上ご利用のお客様に津久井城一筆
箋差し上げます。"
"","岩田畳店","その他","お好みの素材・カラーも選べるタタミ専門店です","三ケ木317","042-784-0283","畳工事をさせていただいたお客様にオリジナル畳敷物
プレゼント"
"","エスオートサービス","小売業","自動車・オートバイ部品を販売しております（オーク
ション代理出品）","三ケ木672-1","",""
"","お休み処 旬","飲食業","焼とりを中心にした居酒屋です","三ケ木333","090-2333-4694",""
"","キャンプ＆クラフト","小売業","キャンプ用品と木工品の製作と販売","三ケ木300-2","042-785-6404","キャンプ場まで最短10分、消耗品在庫あり。
自分だけの木製キャンプ用品がオーダー出来ます！"
"","くろーばー薬局","小売業","市販薬販売 
健康食品販売 
調剤業務","三ケ木316-4","042-780-8525","ドライブスルーで商品購入も可能です。"
