"","事業所（店舗等）名","事業種別","事業内容","事業所所在地","電話番号","PR・オトク情報"
"小山","セブンイレブン相模原小山3丁目店","小売業","コンビニエンスストア","小山3-781-1","042-771-1787",""
"","花膳","飲食業","お蕎麦、定食、お酒の美味しい飲食店です。","小山3-32-7","042-774-7185",""
"","村田ピアノ音楽院","サービス業","ピアノ教室です。子供からお年寄りまで、初級者から
ピアノの先生まで、幅広く、分かりやすく教えていま
す。初めてのピアノでもご安心していらして下さい。","小山3-2-10","042-865-1528","１０月～１１月末の間にご入会した方は初月のレッスン
代を半額にいたします。"
"","焼肉ニューモランボン","飲食業","","小山3丁目31-6","042-772-4025",""
"","ヨガ スタジオ エナルジア","その他","ヨガレッスンや指導者養成講座を開催するヨガスタジ
オ","小山3-5-1-101","090-8495-2544 新規メンバー登録を無料にします！",""
"鹿沼台","OSHARE SALON 777","サービス業","お子さんからご年配の方まで、幅広く皆様でご利用い
ただけるヘアサロンです。","鹿沼台2-10-5","042-759-1435",""
"","アロマスクールMori Note","サービス業","アロマスクール","鹿沼台1-4-10カーサ・アフェット4-A","050-3555-0874 ハーブバスプレゼント",""
"","エステクィーン","サービス業","エステティックサロン","鹿沼台1-13-11-305","042-769-4696","何時も有難うございます。
初回フェイシャルorボディコース
9900円→5500円にておためし出来ます。"
"","王家餃子","飲食業","","鹿沼台2-11-1チサンマンション鹿沼公園105号室","042-776-0566",""
"","オレンジ薬局鹿沼台店","小売業/サービス
業","医薬品製造販売、化粧品","鹿沼台2-21-15-1F","042-757-1125",""
"","かざなは 淵野辺店","飲食業","パン販売店","鹿沼台2-12-13","090-3800-7426","700円以上のレシート10枚で食パンプレゼント!!"
"","クレープミン","飲食業","焼きたてもちもち生地のクレープ屋です。毎日作り立
てのタピオカドリンクもあります。","鹿沼台1-2-14 箭内ビル1階","070-8366-0599","お得なスタンプカードがございます。"
"","児玉理恵税理士事務所","サービス業","税理士業","鹿沼台2-9-20-113","042-853-1818",""
"","寿司dining松もと","飲食業","寿司店","鹿沼台1-13-9    フェアリー1階","042-707-9441",""
"","セブンイレブン相模原鹿沼台南店","小売業","コンビニエンスストア","鹿沼台二丁目5-16","042-753-9455",""
"","セブンイレブン相模原淵野辺駅南口店","小売業","","鹿沼台1-13-5","042-753-3676",""
"","ダイワサイクル相模原店","小売業","自転車の販売・修理","鹿沼台2-6-14","042-704-6788","・ダイワサイクルで購入いただくと自転車の出張費無
料の出張修理サービスが付いてきます。"
"","つばめ鍼灸接骨院","その他","マッサージ治療 鍼灸治療","鹿沼台2-11-1-108","042-755-0551","キャンペーン利用のお客様には１０００円割引券プレ
ゼント"
"","手打蕎麦SOBA.る","飲食業","国産のそば粉を季節ごとに産地を変えて10割そばと
粗挽きニハそばの2種類打つ手打そば屋です","鹿沼台2-11-1チサンマンション102","042-707-8588",""
"","ナチュラル鍼灸治療院","その他","鍼灸・あん摩マッサージ、スポーツ鍼灸マッサージなど 鹿沼台1-13-11 カーサ鹿沼台205","","042-753-6099","【初回の方限定】
・指圧マッサージ50分：￥5,500 → ￥2,980(税込)
・骨盤矯正50分：￥6,600 → ￥3,980(税込)
以上の特別価格にてご案内しております。"
"","ファミリーマート相模原鹿沼台二丁目店","小売業","コンビニストア","鹿沼台2-12-9","042-730-5830",""
"","ヘアーガーデンエスコート","サービス業","髪と頭皮に優しい　美容室","鹿沼台2-11-1-101","042-750-2212","髪と頭皮の悩みを　お聞かせ下さい 
ダメージからの抜け毛　頭皮のからの抜け毛沢山あり
ますよ 
一度ご相談ください"
"","ヘアリゾートクランプ","サービス業","理美容業","鹿沼台2-10-13","042-751-4600",""
"","ローズ薬局","小売業/サービス
業","医薬品製造、販売","鹿沼台2-12-2-1階","042-704-9745",""
"","ワミレスサロン淵野辺パステル","小売業/サービス
業","ワミレス化粧品を取り扱うフェイシャルサロンです。
お肌のモイスチャーバランスを整えて健やかな肌への
お手伝いをさせて頂きます。","鹿沼台1-5-5CasaBrezza101","042-810-9859","初回体験2,200円にご優待致します。期間中お得に始
められるコースもご用意してます。"
"上溝","~sora~","サービス業","ヘア＆まつげ＆着付＆撮影『貸切プライベート美容
室！』 
 『女性は誰もが一生プリンセス』 
 発達障がいの方のヘアカット！ 
 高齢者などの訪問美容も承っています","上溝5-12-17-1階","042-815-3474","◆まつ毛エクステフラットラッシュ100本 
 7150円→初回5500円 
 ◆カット＆白髪染め根本＆高濃度水素トリートメント 
 11550円→初回9900円 
 ◆30分撮影33000円→初回16500円"
"","Casual Dining RIGO","飲食業","BAR","上溝6-1-8 スカイハイツ上溝101号","042-746-1593",""
