"","事業所（店舗等）名","事業種別","事業内容","事業所所在地","電話番号","PR・オトク情報"
"旭町","（有）中野屋篠崎商店","小売業","LPガス・灯油・飲料・駄菓子・住宅設備機器等の販
売、施行をしています。","旭町10-14","042-742-9274","灯油ご購入のお客様には
花の種プレゼントいたします
(数に限りがありますので先着順とさせて頂きます)"
"","ヘアーサロンすずき","サービス業","理容","旭町7-19","042-742-2082","コロナマスク時代の美眉作り"
"麻溝台","うなぎふぐ一進","飲食業","ご法事、お祝事の会席料理から平日は、おトクなサー
ビスランチもございます。※国産うなぎを使用していま
す。","麻溝台1-2-5","042-748-7117",""
"","小川フェニックス（Sweet eggs）","その他","たまご街道の 
カフェ併設の直売所です。 
ブランドたまご鳳凰卵や地場野菜を販売、 
自慢のたまごを贅沢に使った 
たまごかけご飯やオムライスもお召し上がり頂けま
す。 
生プリンやロールケーキもおススメです","麻溝台5-14-39","042-742-6621","お得情報満載のメルマガに新規登録いただくと、鳳凰
卵をプレゼント！
人気のシュークリームお1人様6個まで特別価格１73
円（定価は238円）焼き上がりに合わせ1日３回（土日
祝は４回）販売中！"
"","カフェレストランケイズ","飲食業","レストラン","麻溝台1-2-15","042-748-8618",""
"","セブンイレブン相模原麻溝台店","小売業","コンビニエンスストア","麻溝台3055-1","042-747-7223",""
"","チャリティショップ 楽来 麻溝台店","小売業","近隣のみなさまから頂いた寄付品等を販売している
チャリティショップです。","麻溝台2-6-31","042-705-3621","気軽に立ち寄れるお店です！隣には、レストランAMI
も併設されておりますので、ぜひご来店お待ちしており
ます。"
"","東神ハウス（株）","その他","お庭やエクステリア・お家のリフォームなどを提案、施
工販売している会社です。","麻溝台6-1-20","042-745-8951","スマホやタブレットで使えるタッチペン付きのボールペ
ンをプレゼントします。"
"","日相出版","その他","『相模原事典』、『相模原人物評伝Ⅰ：伊藤方成』等相
模原関連の書籍を販売しております。","麻溝台8-2-7","042-748-6020","期間中、書籍直接購入先着50名様に「さがみんノー
ト」を差し上げます。"
"","パクちゃんぎょうざ","飲食業","中華料理調理提供","麻溝台1-3-3","042-744-6944",""
"","ファミリーマート相模原公園入口店","小売業","コンビニとして営業しています。","麻溝台712-1","042-777-8028",""
"","レストランAMI","飲食業","オムライスやハンバーグなどの飲食物の提供やお弁
当の販売をしているレストランです。","麻溝台2-6-31","042-705-3621","地域の方が気軽に立ち寄れるレストランです。隣には
チャリティショップ楽来が併設されております。みなさ
ま、どうぞお立ち寄りください。"
"","ローソン・スリーエフ麻溝台中学入口店","小売業","コンビニエンスストアー","麻溝台5-2-19","042-748-2010",""
"新磯野","ECCジュニア新磯野教室","その他","英語・英会話教室をやっています。","新磯野1-16-23","046-255-0762","楽しく、丁寧な指導をしています。しっかり英語が身に
つきます。"
"","RADISH","サービス業","美容室","新磯野1-35-14 1F","046-256-7532",""
"","アートクリーニング新磯野店","サービス業","衣類・寝具などのクリーニングをしています。","新磯野1-27-13","046-255-0468",""
"","いそ八","飲食業","食堂　テイクアウト弁当　夜は居酒屋 ダイニング","新磯野4-5-6-3","046-240-8758","お弁当2000円以上お買上げで200円引き"
"","株式会社イミ電気","その他","電気工事","新磯野1-17-1","046-256-3222","見積り無料"
"","亀寿司","飲食業","築地及び豊洲市場で仕入れして40年弱。鮪は近海の
生に拘り．魚介類も常時５０種類と豊富にご用意して
おります。又地元の養鶏場より仕入れた卵で柚子蟹
等を入れて焼いてます。","新磯野1-45-13","046-256-0715",""
"","体と心のバランス調整院【まほら】","サービス業","眠くなるほど気持ちの良い整体。 
横向きでの調整が得意。 
トントントンと身体の深部に響かせて筋肉、骨格、自律
神経を調整。 
「こんなやり方初めて！」と整体慣れの方も驚くスッキ
リさが手に入る場所。","新磯野5-14-2","090-2747-2232","【小顔整体10分プレゼント】 
目元 又は フェイスラインのどちらかをお選びください。"
"","座間木工（有）","その他","“創業70年”地域密着の工務店です。 
新築はもちろん、リフォームや増築など、 
住まいのお困りごとは何でもご相談ください。 
皆様の生活が幸せで溢れるお手伝いをさせていただ
きます","新磯野1-18-5","046-254-3322","製材所として設立以来『材料への拘り』を大切に、伝
統的木造在来工法に現代の技術を取入れながら来世
へ受け継がれていく家づくりを目指しています。 
【創業70年記念キャンペーン】実施中"
"","すずらんの家","小売業","焼き菓子の販売をおこなっています","新磯野2-11-5ドームビル1F","042-747-2418",""
"","セブンイレブン相模原相武台小前店","小売業","コンビニ","新磯野1-44-1","046-298-7222",""
"","相武台電化（株）","その他","家電品小売業","新磯野1-19-14","046-251-5947",""
