"区域","事業所（店舗等）名","事業種別
事業内容","","事業所所在地","電話番号","PR・オトク情報"
"三ヶ木","（有）斉藤自動車整備工場","サービス業","自動車販売・車検・板金・保険","三ケ木672-1","042-784-1029",""
"","（有）斉藤電器商会","小売業","電気器具販売、電気工事","三ヶ木313","042-784-0254",""
"","旬の味はまちょう","飲食業","","三ケ木423-5","042-784-8321",""
"","セブンイレブン相模原津久井三ヶ木店","小売業","","三ヶ木1604-1","042-780-2211",""
"","ダイヤ・ドライセンターマルエツ三ヶ木店","サービス業","クリーニング店です。衣類のお直しも承っております。 三ケ木363-1","","042-780-2371",""
"","タカハシ 三ヶ木店","小売業","婦人服、紳士服、子供服、および靴下、下着類 
ならびに生活雑貨品を販売しています。","三ヶ木361-5 クリエイト エス・ディー ２階","050-3665-8360","アプリ新規登録割引 
アプリ来店ポイント割引"
"","津久井湖ゴルフ倶楽部","サービス業","ゴルフ場経営","三ケ木492","042-784-0321",""
"","はり灸院仁","サービス業","鍼灸院","三ケ木365","042-780-5050","「痛みがなかった頃に戻りたい」諦めていた症状など
是非ご相談下さい！"
"","ファミリーマート津久井三ヶ木店","小売業","コンビニエンスストア","三ケ木1593-1","042-780-5163","ファミペイ会員募集中です。"
"","ヘアメイクカロハート","サービス業","理美容業","三ケ木259-4","042-784-1334",""
"","レディスサロン ピュアティ","サービス業","一般美容","三ヶ木195-3","042-759-5733",""
"三井","ABCカンパニー","サービス業","住宅リフォーム","三井402-2","090-3100-
7450、042-780-
0000","御見積無料"
"向原","AKランドリーAコープ城山店","サービス業","クリーニング","向原2-1-1","042-783-4686","30円券1枚プレゼント"
"","AKランドリー相模原インター店","サービス業","クリーニング","向原4-2-3","042-783-1551","30円券1枚プレゼント"
"","ENEOS セルフDr.Drive城山店","小売業","圏央道相模原インター近くの大型セルフガソリンスタン
ド(ENEOS)です！ 
 セルフ洗車機や、格安車検とレンタカー、新車リース
に自動車保険も取扱いしている相模原市緑区のサー
ビスステーションです。","向原4丁目1-21","042-707-4829","ENEOSアプリ新規登録(無料)の方で当店番号
［201090］入れての登録の方に限りガソリン軽油7円
引(現金/カード共に可)ウェルカムクーポン配信してま
す。ぜひ給油前にアプリを取得してください。"
"","hair living cachette","サービス業","美容室","向原3-20-29","042-783-0130",""
"","HAIRSALON ANGE","サービス業","美容室","向原3-20-1","042-852-1771","貸し切りサロンです 
ゆったりとお過ごしいただけます"
"","JA神奈川つくい 川尻支店","小売業","","向原1-4-11","042-782-2403",""
"","アートサロンウェリナ","サービス業","チョークアートとディンプルアートのアート教室です。","向原3-6-11","042-783-8755","無料体験開催中です！"
"","かつさと城山店","飲食業","かつ丼・みそかつ・定食
＊テイクアウトにも対応しています","向原3-1-4","042-851-2976","キャンペーン期間中、お得なランチセット（税込690円）
が終日ご注文できるようになります。"
"","カットショップスタイル","サービス業","理容業","向原1-14-45","042-783-1139","クールなメンズヘアはおまかせください。 
がっつりフェード からパーマまで得意です。"
"","かつれつ厨房Biton","飲食業","定食類の提供","向原3-20-30","042-782-4220",""
"","（株）コサカ","小売業","銃砲火薬類　小売","向原4-3-5","042-782-2211",""
"","寝具のささき","小売業","寝具販売、羽毛布団のリフォーム、綿打ち直し、布団
仕立て。","向原1-7-14","042-782-2455","羽毛布団をお買い上げのお客様へ羽毛布団用カバー
をプレゼント！ 
（羽毛布団１枚につき、羽毛布団用カバー１枚差し上
げます）"
"","ノジマNEW城山店","小売業","生活を豊かにする家電を、お客様に寄り添ったご案内
でご提供しています。","向原4-2番3","042-783-0611","ノジマのモバイル会員様向けにお得なクーポンをご用
意しております。"
"","パルムドール","小売業","パン製造、小売り","向原3-20-29","042-783-0091",""
"","ホンダカーズ神奈川西 相模原インター店","小売業","自動車(新車)の販売、車検、点検、整備、修理をして
います。
Honda正規ディーラー
その他に、電動車いす(WHILL)の販売も行っていま
す。","向原4-2-3","042-782-3900",""
"","メモリアルハウス城山","サービス業","創業109年！老舗の専門葬儀社です。","向原4丁目5-1","012-017-7166","相模原市を中心に会員数9万人！ 
あんしん倶楽部新規入会受付中！ 
ご相談だけでもお気軽にお声掛けください！"
"","らーめんつけ麺専門店一本槍","飲食業","飲食店","向原1-15-2","042-782-9678",""
